"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-10-21",,,"16.8","21.8","12.6"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-10-22",,,"17.1",,"12.8"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-10-23",,,"18.6",,"13.9"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-10-24",,,"17.8","19.6","15.7"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-10-25",,,"16.6","20.1",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-10-26","12.2",,"13.6","15.5",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-10-27","0.5",,"13.9",,"9.7"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-10-28","0.0",,"14.3",,"11.3"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-10-29","9.4","10.0","13.6",,"11.3"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-10-30","7.9","10.0","13.2",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-10-31","0.0",,"9.9",,"6.3"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-11-01",,,"9.5","14.4","5.5"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-11-02","0.0",,"9.9","16.1","5.6"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-11-03",,,"13.1","16.1","7.2"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-11-04","2.3",,"13.1",,"11.4"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-11-05","2.8",,"13.9","18.2","12.2"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-11-06","0.0",,"13.6","17.7","10.5"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-11-07",,,"14.0",,"10.8"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-11-08",,,"14.9",,"11.1"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-11-09",,,"14.7","18.7","11.9"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-11-10",,,"13.5","19.0",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-11-11",,,"13.1",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-11-12","0.5",,"16.1","21.9","12.1"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-11-13","0.0",,"17.1",,"13.3"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-11-14",,,"16.0","20.6","12.8"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-11-15",,,"15.2",,"11.5"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-11-16",,,"14.4",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-11-17",,,"14.9",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-11-18",,,"14.9",,"12.5"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-11-19",,,"14.7",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-11-20","15.5","20.0","9.9",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-11-21","18.8","10.0","7.3",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-11-22","0.0",,"10.6",,"4.7"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-11-23","2.8",,"12.3",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-11-24","0.0",,"12.1","17.0",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-11-25",,,"11.7","17.9","7.8"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-11-26",,,"13.2","18.5","7.8"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-11-27","0.0",,"14.2",,"10.4"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-11-28","3.8",,"11.7",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-11-29","21.3","20.0","11.1","14.1","7.3"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-11-30","0.5",,"14.6",,"11.0"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-12-01","0.0",,"17.2",,"14.1"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-12-02",,,"17.4",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-12-03","0.0",,"16.5","22.9","13.3"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-12-04","1.0",,"12.7",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-12-05","16.0","10.0","6.5",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-12-06","3.0",,"7.0",,"3.0"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-12-07","1.8",,"9.8","13.0","6.7"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-12-08","0.0",,"11.8",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-12-09","0.0",,"13.4","17.9","7.9"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-12-10",,,"11.7",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-12-11",,,"12.4",,"4.9"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-12-12",,,"14.4",,"12.5"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-12-13",,,"13.3",,"9.0"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-12-14",,,"14.7","18.7","10.4"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-12-15",,,"14.8",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-12-16",,,"16.5","20.3","10.3"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-12-17","3.0",,"14.5",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-12-18","5.1","10.0","8.1",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-12-19","12.7","10.0","7.9","10.2",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-12-20","3.3",,"6.0",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-12-21","0.5",,"6.2",,"4.0"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-12-22","2.3",,"5.5","6.1","4.4"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-12-23","40.4",,"5.2",,"3.3"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-12-24","2.8",,"6.6",,"2.0"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-12-25","0.0",,"8.6","12.1",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-12-26",,,"9.6",,"5.2"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-12-27",,,"13.1","18.2","8.4"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-12-28",,,"13.4","17.7","9.9"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-12-29",,,"12.9",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-12-30",,,"10.3","16.0",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2017-12-31",,,"6.9","8.5",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-01","1.0",,"8.7","13.0","5.3"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-02","0.0",,"10.9","17.0","4.4"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-03","5.1",,"10.9","15.6",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-04","3.8",,"10.4","15.0","9.0"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-05","0.0",,"8.0","10.1",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-06","5.1",,"7.9","14.5","3.7"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-07","0.0",,"10.5","17.4","5.3"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-08","0.0",,"11.6","15.5","7.7"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-09",,,"10.6","12.1","8.6"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-10",,,"10.2","12.4",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-11",,,"10.6",,"8.7"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-12","6.6",,"9.6",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-13","8.6","10.0","7.3",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-14","2.0",,"4.7","5.9",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-15","0.8",,"5.7",,"2.5"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-16","0.0",,"8.7",,"4.7"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-17","1.3",,"12.7",,"9.8"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-18","4.6",,"7.2",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-19","7.6",,"7.7","11.9","2.9"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-20","0.0",,"11.1","15.0","5.9"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-21","7.1",,"9.0",,"6.4"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-22","3.0",,"8.2",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-23","4.8",,"5.0","6.9",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-24","0.0",,"4.0",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-25","1.3",,"3.8","7.5",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-26","0.8",,"3.3","5.8","0.4"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-27","0.0",,"4.6","6.3","2.7"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-28",,,"5.1",,"1.2"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-29",,,"5.7",,"1.8"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-30",,,"8.1",,"3.2"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-31",,,"8.4","13.5","4.4"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-01",,,"10.9","16.1","4.0"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-02",,,"13.4",,"10.6"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-03","0.0",,"14.5","18.2","12.2"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-04",,,"12.8",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-05","17.5","10.0","7.9",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-06","0.0",,"8.2",,"5.4"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-07",,,"9.7",,"5.0"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-08","0.3",,"11.7","17.4",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-09","3.6",,"10.4",,"6.5"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-10","0.0",,"9.3",,"7.0"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-11","7.1",,"8.6",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-12","19.1",,"5.7",,"4.1"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-13","0.0",,"7.9","12.1","5.2"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-14","1.0",,"10.8","14.4","7.7"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-15",,,"9.1",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-16",,,"7.5","8.4","6.5"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-17","0.3",,"7.2",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-18","0.0",,"8.0",,"4.3"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-19","0.0",,"7.6","11.5",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-20",,,"8.1",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-21","0.0",,"9.3","13.0","7.3"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-22",,,"10.3","13.7","8.1"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-23","0.0",,"8.2",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-24",,,"7.2",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-25","17.0",,"5.5","8.2",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-26","2.8",,"6.8",,"4.1"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-27","5.8",,"4.4",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-28","15.0",,"4.1",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-01","17.8",,"1.4",,"-2.2"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-02","0.0",,"10.1","16.1","2.6"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-03","3.0",,"11.9","18.1",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-04","11.7",,"10.7",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-05","4.3",,"8.9","13.3","6.1"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-06","5.8","10.0","12.6",,"8.6"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-07","7.6",,"15.5","21.5","11.0"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-08","1.3",,"11.4",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-09","22.1",,"9.9","13.3",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-10","0.0",,"9.2",,"5.6"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-11",,,"10.6","18.0","5.7"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-12",,,"13.9",,"7.1"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-13","0.5",,"14.2","18.5","11.2"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-14","1.0",,"13.8",,"10.0"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-15","0.5",,"10.9","14.8",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-16","4.3",,"12.9",,"6.6"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-17","0.0",,"17.6",,"12.8"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-18",,,"17.3","22.0",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-19","1.0",,"10.2",,"7.5"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-20","1.0",,"13.0",,"9.3"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-21","0.0",,"15.0","20.8","8.7"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-22","0.5",,"7.8",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-23","0.3",,"9.7",,"6.4"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-24","1.8",,"7.3",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-25","8.1","10.0","8.9",,"6.2"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-26","2.0",,"14.9","19.9","8.8"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-27","2.8",,"13.4",,"10.2"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-28","2.5",,"10.2","14.5",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-29","2.5",,"7.4","9.3",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-30","0.3",,"10.2",,"4.1"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-03-31","0.0",,"15.2","22.2","7.4"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-01",,,"17.0",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-02","13.7",,"12.6","17.2","8.7"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-03","0.0",,"12.8",,"8.1"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-04","0.0",,"12.9","18.7","7.1"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-05",,,"15.1",,"8.6"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-06",,,"15.5","24.7","10.4"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-07",,,"12.2","15.5",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-08",,,"11.8",,"10.5"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-09","0.0",,"13.1",,"8.9"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-10",,,"14.5","21.4","9.3"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-11",,,"15.7","21.1","12.4"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-12",,,"18.5",,"13.9"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-13","0.0",,"17.1","25.8","12.2"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-14","0.0",,"12.6","19.3","8.9"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-15",,,"14.7",,"10.3"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-16",,,"15.0",,"9.3"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-17",,,"14.3",,"10.8"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-18",,,"13.4",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-19","0.0",,"15.4","23.8","9.0"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-20","2.8",,"12.9",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-21","2.3",,"13.9",,"8.6"
