DATE,GENERAL_DAM_OCCUPANCY_RATE,GENERAL_DAM_RESERVED_WATER,PRCP,TAVG
2017-11-07,56.32,489,0.0,14.0
2017-11-08,56.3,489,0.0,14.9
2017-11-09,56.2,488,0.0,14.7
2017-11-10,55.96,486,0.0,13.5
2017-11-11,55.65,483,0.0,13.1
2017-11-12,55.36,481,0.5,16.1
2017-11-13,55.25,480,0.0,17.1
2017-11-14,54.98,478,0.0,16.0
2017-11-15,54.76,476,0.0,15.2
2017-11-16,54.51,474,0.0,14.4
2017-11-17,54.38,472,0.0,14.9
2017-11-18,54.19,471,0.0,14.9
2017-11-19,54.01,469,0.0,14.7
2017-11-20,54.16,470,15.5,9.9
2017-11-21,55.09,479,18.8,7.3
2017-11-22,55.36,481,0.0,10.6
2017-11-23,55.41,481,2.8,12.3
2017-11-24,55.35,481,0.0,12.1
2017-11-25,55.22,480,0.0,11.7
2017-11-26,55.09,479,0.0,13.2
2017-11-27,54.93,477,0.0,14.2
2017-11-28,54.79,476,3.8,11.7
2017-11-29,54.75,476,21.3,11.1
2017-11-30,54.62,474,0.5,14.6
2017-12-01,54.53,474,0.0,17.2
2017-12-02,54.56,474,0.0,17.4
2017-12-03,54.54,474,0.0,16.5
2017-12-04,54.48,473,1.0,12.7
2017-12-05,54.61,474,16.0,6.5
2017-12-06,54.71,475,3.0,7.0
2017-12-07,54.8,476,1.8,9.8
2017-12-08,54.93,477,0.0,11.8
2017-12-09,54.9,477,0.0,13.4
2017-12-10,54.81,476,0.0,11.7
2017-12-11,55.18,479,0.0,12.4
2017-12-12,55.18,479,0.0,14.4
2017-12-13,55.25,480,0.0,13.3
2017-12-14,55.25,480,0.0,14.7
2017-12-15,55.29,480,0.0,14.8
2017-12-16,55.3,480,0.0,16.5
2017-12-17,55.44,482,3.0,14.5
2017-12-18,55.89,485,5.1,8.1
2017-12-19,56.74,493,12.7,7.9
2017-12-20,57.71,501,3.3,6.0
2017-12-21,58.17,505,0.5,6.2
2017-12-22,58.56,509,2.3,5.5
2017-12-23,59.98,521,40.4,5.2
2017-12-24,61.66,536,2.8,6.6
2017-12-25,62.06,539,0.0,8.6
2017-12-26,62.28,541,0.0,9.6
2017-12-27,62.53,543,0.0,13.1
2017-12-28,62.69,545,0.0,13.4
2017-12-29,62.82,546,0.0,12.9
2017-12-30,63.13,548,0.0,10.3
2017-12-31,63.58,552,0.0,6.9
2018-01-01,63.9,555,1.0,8.7
2018-01-02,64.08,557,0.0,10.9
2018-01-03,64.27,558,5.1,10.9
2018-01-04,64.95,564,3.8,10.4
2018-01-05,65.31,567,0.0,8.0
2018-01-06,65.51,569,5.1,7.9
2018-01-07,65.63,570,0.0,10.5
2018-01-08,65.75,571,0.0,11.6
2018-01-09,65.92,573,0.0,10.6
2018-01-10,65.94,573,0.0,10.2
2018-01-11,66.09,574,0.0,10.6
2018-01-12,66.2,575,6.6,9.6
